merk,type,price,detail,kursi,CC,BBM,link_img
Mercedes,Benz Sprinter 415 CDI A3,103000000,"2143 cc, 150 hp, Manual, Diesel",2143 cc,150 hp,Diesel,https://imgcdn.oto.com/large/gallery/exterior/25/2248/mercedes-benz-sprinter-front-angle-low-view-819510.jpg
Mercedes,Benz Sprinter 315 CDI A2,955000000,"14 Kursi, 2143 cc, 150 hp, Bensin",14 Kursi,2143 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2248/mercedes-benz-sprinter-front-angle-low-view-819510.jpg
Mercedes,Benz Sprinter 315 CDI A3,975000000,"14 Kursi, 2143 cc, 150 hp, Bensin",14 Kursi,2143 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2248/mercedes-benz-sprinter-front-angle-low-view-819510.jpg
Mercedes,Benz A-Class Sedan A 200,800000000,"5 Kursi, 1332 cc, 163 hp, Bensin",5 Kursi,1332 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/198/mercedes-benz-a-class-front-angle-low-view-215356.jpg
Mercedes,Benz B-Class B 200 Progressive Line,700000000,"5 Kursi, 1333 cc, 160 hp, Bensin",5 Kursi,1333 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2153/mercedes-benz-b-class-front-angle-low-view-972034.jpg
Mercedes,Benz Vito Tourer,989000000,"8 Kursi, 1991 cc, 211 hp, Bensin",8 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1623/mercedes-benz-vito-front-angle-low-view-927069.jpg
Mercedes,Benz GLE-Class AMG 43 4MATIC Coupe,222000000,"5 Kursi, 2996 cc, 367 hp, Bensin",5 Kursi,2996 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2197/mercedes-benz-gle-class-2019-front-angle-low-view-283283.jpg
Mercedes,Benz GLE-Class 450 4MATIC AMG Line,168000000,"5 Kursi, 2999 cc, 367 hp, Bensin",5 Kursi,2999 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2197/mercedes-benz-gle-class-2019-front-angle-low-view-283283.jpg
Mercedes,Benz GLE-Class 400 Coupe 4MATIC AMG Line,1700000000,"5 Kursi, 2996 cc, 333 hp, Bensin",5 Kursi,2996 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2197/mercedes-benz-gle-class-2019-front-angle-low-view-283283.jpg
Mercedes,Benz C-Class Coupe C 300 Coupe AMG Line,152000000,"4 Kursi, 1991 cc, 245 hp, Bensin",4 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2035/mercedes-benz-c-class-estate-front-angle-low-view-492342.jpg
Mercedes,Benz C-Class Estate C 200 Exclusive Line,123000000,"5 Kursi, 1991 cc, 211 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2035/mercedes-benz-c-class-estate-front-angle-low-view-492342.jpg
Mercedes,Benz CLA-Class 200 AMG Line,865000000,"5 Kursi, 1332 cc, 163 hp, Bensin",5 Kursi,1332 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2196/mercedes-benz-cla-class-2019-front-angle-low-view-885983.jpg
Hyundai,Creta Active MT,281500000,"5 Kursi, 1497 cc, 113 hp, Bensin",5 Kursi,1497 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/15/2434/hyundai-creta-2022-front-angle-low-view-996889.jpg
Hyundai,Creta Trend MT,301500000,"5 Kursi, 1497 cc, 113 hp, Bensin",5 Kursi,1497 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/15/2434/hyundai-creta-2022-front-angle-low-view-996889.jpg
Hyundai,Creta Trend IVT,322000000,"5 Kursi, 1497 cc, 113 hp, Bensin",5 Kursi,1497 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/15/2434/hyundai-creta-2022-front-angle-low-view-996889.jpg
Hyundai,Creta Style IVT,362000000,"5 Kursi, 1497 cc, 113 hp, Bensin",5 Kursi,1497 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/15/2434/hyundai-creta-2022-front-angle-low-view-996889.jpg
Hyundai,Creta Prime IVT,401000000,"5 Kursi, 1497 cc, 113 hp, Bensin",5 Kursi,1497 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/15/2434/hyundai-creta-2022-front-angle-low-view-996889.jpg
Hyundai,Palisade Prime,795000000,"7 Kursi, 2199 cc, 197 hp, Diesel",7 Kursi,2199 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/15/2356/hyundai-palisade-front-angle-low-view-445519.jpg
Hyundai,Palisade Signature,907000000,"7 Kursi, 2199 cc, 197 hp, Diesel",7 Kursi,2199 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/15/2356/hyundai-palisade-front-angle-low-view-445519.jpg
Hyundai,Palisade Signature AWD,104000000,"7 Kursi, 2199 cc, 197 hp, Diesel",7 Kursi,2199 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/15/2356/hyundai-palisade-front-angle-low-view-445519.jpg
Hyundai,Ioniq Prime,682000000,"5 Kursi, 134 hp, Otomatis, Listrik",5 Kursi,134 hp,Listrik,https://imgcdn.oto.com/large/gallery/exterior/15/2274/hyundai-ioniq-front-angle-low-view-323063.jpg
Hyundai,Ioniq Signature,723000000,"5 Kursi, 134 hp, Otomatis, Listrik",5 Kursi,134 hp,Listrik,https://imgcdn.oto.com/large/gallery/exterior/15/2274/hyundai-ioniq-front-angle-low-view-323063.jpg
Hyundai,Santa Fe 2.2 8DCT Style,0,"7 Kursi, 2151 cc, 199 hp, Diesel",7 Kursi,2151 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/15/2000/hyundai-santa-fe-front-angle-low-view-162576.jpg
Hyundai,Santa Fe 2.2 8DCT Prime,659000000,"7 Kursi, 2151 cc, 199 hp, Diesel",7 Kursi,2151 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/15/2000/hyundai-santa-fe-front-angle-low-view-162576.jpg
Hyundai,Santa Fe 2.2 8DCT Signature,729000000,"7 Kursi, 2151 cc, 199 hp, Diesel",7 Kursi,2151 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/15/2000/hyundai-santa-fe-front-angle-low-view-162576.jpg
Hyundai,Santa Fe 2.5 6AT Style,0,"7 Kursi, 2497 cc, 178 hp, Bensin",7 Kursi,2497 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/15/2000/hyundai-santa-fe-front-angle-low-view-162576.jpg
Hyundai,Santa Fe 2.5 6AT Prime,599000000,"7 Kursi, 2497 cc, 178 hp, Bensin",7 Kursi,2497 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/15/2000/hyundai-santa-fe-front-angle-low-view-162576.jpg
Hyundai,Santa Fe 2.5 6AT Signature,678000000,"7 Kursi, 2497 cc, 178 hp, Bensin",7 Kursi,2497 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/15/2000/hyundai-santa-fe-front-angle-low-view-162576.jpg
Hyundai,Ioniq 5 Standard Range Prime,718000000,"5 Kursi, 168 hp, Otomatis, Listrik",5 Kursi,168 hp,Listrik,https://imgcdn.oto.com/large/gallery/exterior/15/2605/hyundai-ioniq-5-front-angle-low-view-395881.jpg
Hyundai,Ioniq 5 Long Range Prime,759000000,"5 Kursi, 214 hp, Otomatis, Listrik",5 Kursi,214 hp,Listrik,https://imgcdn.oto.com/large/gallery/exterior/15/2605/hyundai-ioniq-5-front-angle-low-view-395881.jpg
Hyundai,Ioniq 5 Standard Range Signature,779000000,"5 Kursi, 168 hp, Otomatis, Listrik",5 Kursi,168 hp,Listrik,https://imgcdn.oto.com/large/gallery/exterior/15/2605/hyundai-ioniq-5-front-angle-low-view-395881.jpg
Hyundai,Ioniq 5 Long Range Signature,829000000,"5 Kursi, 214 hp, Otomatis, Listrik",5 Kursi,214 hp,Listrik,https://imgcdn.oto.com/large/gallery/exterior/15/2605/hyundai-ioniq-5-front-angle-low-view-395881.jpg
Hyundai,Staria Signature 9,896000000,"9 Kursi, 2199 cc, 175 hp, Diesel",9 Kursi,2199 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/15/2419/hyundai-staria-front-angle-low-view-715928.jpg
Hyundai,Staria Signature 7,103000000,"7 Kursi, 2199 cc, 175 hp, Diesel",7 Kursi,2199 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/15/2419/hyundai-staria-front-angle-low-view-715928.jpg
Hyundai,Kona Electric Electric,742000000,"5 Kursi, 134 hp, Otomatis, Listrik",5 Kursi,134 hp,Listrik,https://imgcdn.oto.com/large/gallery/exterior/15/2353/hyundai-kona-electric-front-angle-low-view-390196.jpg
Ford,Ranger XL 2.2L 4x4 MT,491000000,"5 Kursi, 2198 cc, 158 hp, Diesel",5 Kursi,2198 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/12/883/ford-ranger-front-angle-low-view-437205.jpg
Ford,Ranger XLT 2.2L 4x4 AT,572000000,"5 Kursi, 2198 cc, 158 hp, Diesel",5 Kursi,2198 cc,Diesel,https://imgcdn.oto.com/large/gallery/exterior/12/883/ford-ranger-front-angle-low-view-437205.jpg
