brand,city,dealer_name,address,link_maps
suzuki,bitung,Sinar Galesong Prima Girian,"Jln. Wolter Monginsidi - Wangurer Girian, Bitung","http://maps.google.com/?q=1.440095,125.130634"
suzuki,blitar,UNITED MOTORS CENTRE - BLITAR,"Jl. Merdeka No. 67A, Blitar, 66117","http://maps.google.com/?q=-7.982147,112.631675"
suzuki,bojonegoro,United Motors Centre Bojonegoro,"Jl. Patimura No. 46 A Bojonegoro, Bojonegoro, 62115","http://maps.google.com/?q=-7.162232,111.872616"
suzuki,bone,MEGAHPUTRA SEJAHTERA - BONE,"Jl. Mt.Haryono Poros Makassar Km.06 Watangpalakka, Bone, 90552","http://maps.google.com/?q=-5.061989,119.525496"
suzuki,bukittinggi,Elang Perkasa Motor,"Jl. Raya Bukittinggi - Padang KM.5 No. 15, Bukittinggi, 26181","http://maps.google.com/?q=-0.346641,100.3841"
suzuki,cilegon,Restu Mahkota Karya,"Jl. Raya Serang Cilegon / KH. Wasid 37, Cilegon, 42426","http://maps.google.com/?q=-5.98347,106.04157"
suzuki,cirebon,CINTA DAMAI PUTRA BAHAGIA - KALIJAGA,"Jl. Kalijaga No. 117, Cirebon, 45113","http://maps.google.com/?q=-6.744439,108.58546"
suzuki,garut,IB MOBIL,"JL.Bratayudha No.20, Garut, 44114","http://maps.google.com/?q=-7.218195,107.909186"
suzuki,gianyar,TOP MOTOR,"Jl. I Gusti Ngurah Rai No. 18, Gianyar","http://maps.google.com/?q=-8.615416,115.254937"
suzuki,gorontalo,NENGGAPRATAMA INTERNUSA,"Jl. Agus Salim No. 1, Gorontalo, Gorontalo, 96136","http://maps.google.com/?q=3.59888,98.66239"
suzuki,gresik,Sejahtera Buana Trada,"Jl. Raya Menganti Sidomulyo No 117, Gresik, 61174","http://maps.google.com/?q=-2.92999,104.7848"
suzuki,jayapura,Surya Megah Kencana,"Jl. Percetakan No. 8 , Jayapura","http://maps.google.com/?q=-2.542015,140.702397"
suzuki,jember,UNITED MOTORS CENTRE - JEMBER,"Jln. Hayam Wuruk No. 4, Jember, 68131","http://maps.google.com/?q=-8.182468,113.67073"
